"","amygdala","anterior commissure: pars anterior","anterior commissure: pars posterior","arbor vita of cerebellum","basal forebrain","bed nucleus of stria terminalis","cerebellar cortex","cerebellar peduncle: inferior","cerebellar peduncle: middle","cerebellar peduncle: superior","cerebral aqueduct","cerebral cortex: entorhinal cortex","cerebral cortex: frontal lobe","cerebral cortex: occipital lobe","cerebral cortex: parieto-temporal lobe","cerebral peduncle","colliculus: inferior","colliculus: superior","corpus callosum","corticospinal tract/pyramids","cuneate nucleus","dentate gyrus of hippocampus","facial nerve (cranial nerve 7)","fasciculus retroflexus","fimbria","fornix","fourth ventricle","fundus of striatum","globus pallidus","habenular commissure","hippocampus","hypothalamus","inferior olivary complex","internal capsule","interpedunclar nucleus","lateral olfactory tract","lateral septum","lateral ventricle","mammillary bodies","mammilothalamic tract","medial lemniscus/medial longitudinal fasciculus","medial septum","medulla","midbrain","nucleus accumbens","olfactory bulbs","olfactory tubercle","optic tract","periaqueductal grey","pons","pontine nucleus","posterior commissure","pre-para subiculum","stratum granulosum of hippocampus","stria medullaris","stria terminalis","striatum","subependymale zone / rhinocele","superior olivary complex","thalamus","third ventricle","ventral tegmental decussation"
"FMR1vB6 (-/Y)",0.363560229163702,-0.932598434786951,-0.789100732768279,-2.16159247447377,-0.655898058661228,-1.42103656064256,-1.21139897447088,-1.01056414562059,-4.48129160901634,0.019570356248445,-0.168592418987393,0.557179925595986,1.13657587250864,0.203156411552771,1.71080805305503,-1.06178613690742,0.750807379714076,0.529768843396829,-0.39609166318202,-0.392040986793814,-0.336985574452405,0.7973570036942,0.029326268927035,-0.674517607664175,0.0166765273778222,-0.386550039993729,-0.523906972116115,-0.105095638866699,-0.428369823617919,-0.592391272279857,-0.829588525164976,-0.304196095613642,-0.543946790433119,-0.641266646400867,-0.266340559330886,0.522030449300659,0.0544225333680532,-0.0902648527479652,0.439275191615288,-0.262756882658635,-0.845850452644079,-0.0156355504561027,-0.490217658141966,-0.00861860457320446,-0.801610516604602,0.645191214687303,0.460235648061894,0.0101747685706686,0.0211791141845494,-0.476880904707871,-0.973612636737086,0.396827039789537,-1.15321574497412,1.14356848590352,-0.00114581469438523,0.276924191191175,-1.78607574869389,1.02167888131885,0.259403373339406,-0.632906928436004,-0.24659136798656,0.566864220946587
"FMR1vFVB (-/Y)",0.228700209741772,0.721886337455219,0.0197141013179227,0.274710979825687,-2.29201770285733,0.0695615857138985,-0.838246705737742,-1.93429199774209,-1.40934572258408,1.33654421406018,2.43178450210476,-0.784170470656697,0.991856667441242,-0.723421166401742,2.1554227882796,-1.04238623091552,1.15153140730971,1.47585721694761,1.93044430087797,-1.03772617564299,-1.01813504926539,0.183564496698278,-2.30160852079752,0.0566737694090227,2.14374799374325,0.471868638770143,-0.305487826497747,-0.948912807676611,-1.21990242005237,-0.22599416012996,-0.211498625312979,-1.3006853565803,-0.36706296706389,-1.37022778191156,-1.03574576538771,0.0722233664896984,0.566544941750711,1.61144814791655,-0.418091529027637,-0.812100774308512,0.046002044443612,-1.01943476610495,-1.91051700235061,0.22061867628594,-0.63508877666471,0.123158263059076,-1.86536628440618,-0.85536572575462,1.13171096876004,-1.24761804465902,-1.59130792434262,-1.09879960674712,-1.2474797606596,0.345595759915629,-0.58363365776303,0.372799621481245,-0.756896786935416,-0.320038806975323,-1.40001967475108,-0.637398639441155,-1.29319326849085,0.746707696345016
"Mecp2 p60 (-/Y)",-0.236476834644831,-1.35532785383009,-0.395066446262585,0.745036111028799,1.6035713660813,-1.98709594522459,2.47533025043174,2.74157482408249,1.55310591151493,-0.146432172881194,-0.408644591304612,1.42528863945601,-1.53358244854252,0.981172867725144,-1.25266875679445,1.38540048061608,0.516946218457645,0.0596479056599744,-1.91045206534417,1.79615114960148,2.27601055123136,-1.40609133571681,-0.154018449787407,-0.118170011034486,-1.52771255682733,-0.0151047763974774,1.3053288724372,1.00062786995757,0.906166872521028,0.235603704123605,0.197247025716914,1.43178008647689,0.910316771136266,-1.02361347492807,-0.307570078838561,-0.335873704462107,-0.72705585244425,-0.11037883696219,2.81621009825754,-0.320641829432431,2.01966418159786,0.947865410614585,2.67403515136961,1.21205009609779,-0.329142534861432,-0.307860953273415,0.988743942252878,-0.206531063463996,-0.268930080789137,1.84202222743226,2.12923489304784,-1.21782219938046,0.569923004317137,-0.638772532931241,-0.145145859475066,-2.51933699650548,-1.79535627936131,-1.2328959023576,2.32136686523829,-3.30058529818353,-0.561927958503105,0.148273414028631
"NL3 R451C",0.450702431887471,1.12910672714592,0.408405087241763,1.40027997355571,1.74024884270503,0.457521563860414,1.3330372833644,1.10296606920067,0.45660978125172,0.894513699770156,1.59653007748192,0.770406737115494,-0.0102320412941189,-0.347914135863287,-1.27458865970225,-1.85468224882092,1.09602604117081,0.347968145846197,-6.15987659967793,0.171930705617867,0.181380063154102,-1.84171015439053,1.18435372959028,-1.62677909839436,-0.365318158917299,-2.07491519967391,2.6492814051774,-1.38944636712192,-0.407042102272353,1.23728052221175,-0.892805411556776,0.893131575945942,0.526986939677047,-1.23193508990423,2.842358368594,0.839509914875555,0.573129071428476,0.927468009935328,-0.397667841687573,-1.98287266339601,0.576904749013848,2.0261783551851,0.590218930566503,-0.244948154491443,-0.667068881947341,1.03818640727851,1.91014432935614,-1.99956021359062,0.277574471752139,1.14970750308139,0.0249281516757141,0.30922685561959,-0.720920648060279,-1.69866399522859,-1.64894449648139,-2.05487132358881,-1.34526823354668,1.30893622360394,2.28041464261733,-2.59183795013079,0.770865978176849,0.556477991766027
"En2",0.837105565279871,3.04549516922669,0.455188915100834,-7.7810388748015,2.90706285538069,2.37227942511859,-9.00640895785774,-3.38379671144534,-3.83222443812101,-1.09907357709066,-1.19698325168506,0.465716701058731,2.05157298429106,1.0571435940212,4.29926264951265,2.99450323410776,-6.92982885676829,2.58548732951197,2.62889341073744,0.85978302716781,-2.6452541785335,5.3077465904075,0.607190861260638,1.42386151582775,2.38755397462327,1.67223918441007,-1.16110701922849,-0.197339542821011,3.22361438826468,-1.19208048292273,2.26202195741423,2.48629941613312,0.604242232836332,3.78379006929489,-1.13585646578676,2.17169105149535,2.62929097748686,0.611039365291388,0.842013106060117,2.57313820899462,1.5137701861149,3.25902705414186,0.137112180757678,1.71973383709087,2.45564628527258,3.46681805794943,0.211730998223541,0.859287584684652,-0.895571213446875,0.0913106759157949,-1.49232153354751,-0.110526629037396,-1.83531458728549,4.81894317831651,0.661537523264218,3.57785296833308,0.948523513759884,0.41383920194653,0.0210536564676968,3.43887447944364,0.509790320772301,1.96456196848736
"16p11.2 (dp/+)",-0.143381502041888,-0.487406384683941,-0.568138690148055,1.38631814119056,-0.100970347831383,0.16766481459114,1.24701096415104,0.722172101458401,-0.293449190301797,0.203158716450549,-0.703141066350791,-0.650431481903461,-0.855722413908243,0.0783755028298123,-0.54794634100852,-0.0250267555381408,-0.543679816691383,-0.35735955435328,0.280886859886012,0.220005342261715,0.910053002346957,-0.51601107614027,0.0400049886907238,-0.13432182979419,-0.120944108554782,0.425170975757602,0.631735586053768,-0.490778720774464,-0.241774058831623,0.270817871237959,-0.470575279733867,-0.0498336175487701,0.662973557998364,0.0969673166351539,-0.315310133299286,0.250940110480899,-0.630201292588932,-0.289963059585616,-0.536826169685458,-0.435547863273556,0.227792893807403,-0.457249085233272,0.56439275403045,0.0853593948820808,-0.468608094785169,-0.181971454727003,-0.10875265936203,-0.05451458444304,-0.143945120951822,-0.508132431357476,-0.05566079971248,0.114866974346373,-0.297668455970543,-0.521323000361436,-0.219554470669922,0.402886817733058,-0.519766568480307,-0.594140688315839,-0.199337983137054,-0.472179971398443,-0.341530222220264,-0.0333423450082329
"16p11.2 (df/dp)",0.139524998315298,-0.487545682249163,-0.769692310054349,1.18302529639892,0.47232400533804,0.44533216165096,0.839889048987341,0.899182865580054,-0.356564956516516,0.558225901061593,-0.560329628503153,-0.525204843762433,-1.0671004227275,-0.119965024409076,-0.771157051692795,0.384931600796672,-1.01893286867888,-0.177134719805363,0.360886910538068,0.71977191319188,1.20886969489767,-0.311698027194546,0.386288022470382,-0.126243095146899,-0.223463378818331,1.07041162406696,0.422711203228373,-0.163887153108462,0.216713034990494,0.205976914490306,-0.246433758131612,0.898729843653076,1.28923649811725,0.445845733911762,-0.366571469538156,-0.0638897119559147,-0.978682517322426,-0.7657651290876,0.547630610184498,0.536615376707707,0.629373509745321,0.0634578708572999,0.726017430114923,0.36426343446074,-0.401688372178645,-0.595317076095664,0.212871089577632,0.348165631626925,0.170401879515316,-0.429064966748313,-0.17848524777548,0.320018860423678,0.0294151876374909,-0.218881367928148,0.149395818443476,0.64612531038072,-0.713239018885325,-1.05806381212186,-0.493605007318797,-0.18435602822726,-0.499356471510043,-0.00221309022182982
"16p11.2 (df/+)",0.101373494510534,-1.04089148742745,-0.841047295895241,0.867139533112399,0.673169901156613,0.578881280786086,0.456052377101151,-0.0115436509607142,-0.790620494183495,0.520427180680068,0.390024070678299,-0.700470654576437,-0.778071033523706,-0.373898213779377,-0.570035989088089,0.000284711858016488,-0.345642605376926,1.14994968682388,-0.138155494531776,0.564602981635468,0.444178887478462,-0.343665622574188,0.293113540139247,0.798197755848438,-0.727608450277158,1.50969091556328,0.712231727518473,-0.0273435763255622,0.566402392498903,-0.0580634017320971,-0.394321910559737,1.67416631890738,0.546894751308468,0.27914817657912,-0.282707728450265,-0.39284102915644,0.0305312286354164,-0.568044500919418,0.289990560416871,1.28454422334726,0.550726349108882,0.806037767091902,0.517619719870878,1.7271932218979,0.334470591361392,-0.984073845451201,-0.0437112110766445,0.26353694004318,1.32170270179987,0.534576173028517,-0.474176907343669,1.3845051865668,0.252809475624337,-0.263998013300571,0.670384874643449,0.35211627489443,-0.351892231021759,-1.33339534440712,-0.408064379830976,0.517524221909406,0.109074444384111,0.454561388607442
"15q11-13",0.55099089463084,-0.137773063783518,0.627935495017542,0.193810649523051,-2.39978029340353,-0.640297777472721,1.07389228303898,-0.33737243483164,0.557482131822618,-2.05562476063587,0.91658555593339,0.479090285284367,0.418659229236949,0.891651487896214,0.736623203488892,-0.216526713858068,-1.23182118550254,-3.06155050100907,0.38393835561021,-0.338484399451209,1.74700801027786,-0.329821333318014,0.155109614031958,-0.456066555678571,-0.240098889456097,0.0521789218001926,0.855924121566841,-0.167579061750512,-0.848426723399752,0.14269140035311,0.398978706200106,-1.64399610705057,-0.432808477654176,-0.525567250721163,-0.653521600230776,0.0958488383057234,-0.603627638336165,-0.266986299659023,-1.01508420826823,-0.810723488262854,-1.33240243505931,-1.37569061847106,-0.710372163527204,-3.38503314201708,-0.652542934137856,0.440984239308913,0.0994603678746333,0.0300407843123308,-0.103315526293234,-1.24317504850919,0.10218605918251,-0.357018203065556,-0.656981970410057,-1.62640954525859,-1.02368207368743,0.182528150629581,-0.370402189090197,0.812759247451349,-1.27209882791393,-4.60338116514384,1.3005884182067,-1.76613406306185
"CNTNAP2 (-/-)",-0.358306865687733,-0.745898234464235,-0.64580168595741,0.548173547609084,0.183788860711738,-1.45190969779301,-0.0351537002870959,0.29655136220438,0.899500868591231,0.00549618928537596,-0.357603240971669,-0.778603435073234,-0.43922004810329,0.270888807149013,-0.139597277996089,0.488850436137084,0.187924888286504,0.0146475799040346,0.0779200739859301,-0.0881953452083944,-0.496761480083191,0.666779955766184,-0.258211491828258,0.0455778439518261,-0.734225820679755,0.0809869552619424,0.0159131255740577,0.300699122784917,-0.294891484280705,1.60530330698486,0.760854819174226,0.34005090459005,-0.0393909163738645,-0.511831694260629,0.25910866023956,-0.365019026202349,-0.632586270274798,-0.288677401969658,0.409177772085139,0.282201168678455,0.596832488290261,0.534755610283557,0.0638198118025193,0.105964351152297,-0.111002788629622,-0.265611113631928,0.558792396886953,0.94478144669417,-0.484973447246517,0.408962926623582,1.08535205286601,-0.292808273636993,0.0718319235355076,0.761014891178128,0.218263941821735,0.0946924397146967,-0.136150992532596,0.270807656606049,0.258643674757408,0.717660248716389,0.749912342480211,-0.203837321438295
