"Filenames" "Genotype"
"1" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_717.jan2011_distortion_corrected/stats-volumes/TT_15q_717.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_718.jan2011_distortion_corrected/stats-volumes/TT_15q_718.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"3" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_719.jan2011_distortion_corrected/stats-volumes/TT_15q_719.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"4" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_720.jan2011_distortion_corrected/stats-volumes/TT_15q_720.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"5" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_722.jan2011_distortion_corrected/stats-volumes/TT_15q_722.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"6" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_723.jan2011_distortion_corrected/stats-volumes/TT_15q_723.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"7" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_724.jan2011_distortion_corrected/stats-volumes/TT_15q_724.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"8" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_725.jan2011_distortion_corrected/stats-volumes/TT_15q_725.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"9" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_726.jan2011_distortion_corrected/stats-volumes/TT_15q_726.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"10" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_727.jan2011_distortion_corrected/stats-volumes/TT_15q_727.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"11" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_735.jan2011_distortion_corrected/stats-volumes/TT_15q_735.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"12" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_736.jan2011_distortion_corrected/stats-volumes/TT_15q_736.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"13" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_737.jan2011_distortion_corrected/stats-volumes/TT_15q_737.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"14" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_738.jan2011_distortion_corrected/stats-volumes/TT_15q_738.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_748.jan2011_distortion_corrected/stats-volumes/TT_15q_748.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"16" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_749.jan2011_distortion_corrected/stats-volumes/TT_15q_749.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
"17" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_750.jan2011_distortion_corrected/stats-volumes/TT_15q_750.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_751.jan2011_distortion_corrected/stats-volumes/TT_15q_751.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"19" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_759.jan2011_distortion_corrected/stats-volumes/TT_15q_759.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"20" "/projects/moush/jacob/Takumi_15q/TT_15q_02Jul12_ANTS_processed/TT_15q_760.jan2011_distortion_corrected/stats-volumes/TT_15q_760.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "DEL"
