"Filenames" "Genotype"
"1" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF157.november_2007_distortion_corrected/stats-volumes/mills_SF157.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "df"
"2" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF158.november_2007_distortion_corrected/stats-volumes/mills_SF158.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "df"
"3" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF159.november_2007_distortion_corrected/stats-volumes/mills_SF159.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "df"
"4" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF160.november_2007_distortion_corrected/stats-volumes/mills_SF160.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"5" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF161.november_2007_distortion_corrected/stats-volumes/mills_SF161.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dfdp"
"6" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF162.november_2007_distortion_corrected/stats-volumes/mills_SF162.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dfdp"
"7" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF163.november_2007_distortion_corrected/stats-volumes/mills_SF163.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"8" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF179.november_2007_distortion_corrected/stats-volumes/mills_SF179.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"9" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF180.november_2007_distortion_corrected/stats-volumes/mills_SF180.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dfdp"
"10" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF181.november_2007_distortion_corrected/stats-volumes/mills_SF181.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"11" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF182.november_2007_distortion_corrected/stats-volumes/mills_SF182.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"12" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF183.november_2007_distortion_corrected/stats-volumes/mills_SF183.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"13" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF184.november_2007_distortion_corrected/stats-volumes/mills_SF184.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"14" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF185.november_2007_distortion_corrected/stats-volumes/mills_SF185.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dp"
"15" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF221.november_2007_distortion_corrected/stats-volumes/mills_SF221.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dfdp"
"16" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF222.november_2007_distortion_corrected/stats-volumes/mills_SF222.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "dfdp"
"17" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF258.november_2007_distortion_corrected/stats-volumes/mills_SF258.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF262.november_2007_distortion_corrected/stats-volumes/mills_SF262.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "df"
"19" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF263.november_2007_distortion_corrected/stats-volumes/mills_SF263.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "df"
"20" "/projects/moush/jacob/Mills_Autism/Mills_16p11.2_06nov12_ANTS_processed/mills_SF264.november_2007_distortion_corrected/stats-volumes/mills_SF264.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
