"Filenames" "Genotype"
"1" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_202.jan2011_distortion_corrected/stats-volumes/AndR_202.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_203.jan2011_distortion_corrected/stats-volumes/AndR_203.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_206.jan2011_distortion_corrected/stats-volumes/AndR_206.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "12Q"
"4" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_207.jan2011_distortion_corrected/stats-volumes/AndR_207.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "12Q"
"5" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_208.jan2011_distortion_corrected/stats-volumes/AndR_208.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "12Q"
"6" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_209.jan2011_distortion_corrected/stats-volumes/AndR_209.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "12Q"
"7" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_215.jan2011_distortion_corrected/stats-volumes/AndR_215.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "48Q"
"8" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_216.jan2011_distortion_corrected/stats-volumes/AndR_216.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "48Q"
"9" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_217.jan2011_distortion_corrected/stats-volumes/AndR_217.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"10" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_218.jan2011_distortion_corrected/stats-volumes/AndR_218.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"11" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_231.jan2011_distortion_corrected/stats-volumes/AndR_231.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"12" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_237.jan2011_distortion_corrected/stats-volumes/AndR_237.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "21Q"
"13" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_238.jan2011_distortion_corrected/stats-volumes/AndR_238.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "21Q"
"14" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_239.jan2011_distortion_corrected/stats-volumes/AndR_239.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_240.jan2011_distortion_corrected/stats-volumes/AndR_240.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"16" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_241.jan2011_distortion_corrected/stats-volumes/AndR_241.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"17" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_245.jan2011_distortion_corrected/stats-volumes/AndR_245.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/AndR/AndR_19Jun12_ANTS_processed/AndR_246.jan2011_distortion_corrected/stats-volumes/AndR_246.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
