"Filenames" "Genotype" "Study"
"1" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_01may2012.3.jan2011_distortion_corrected/stats-volumes/BALBC_img_01may2012.3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"2" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_01may2012.4.jan2011_distortion_corrected/stats-volumes/BALBC_img_01may2012.4.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"3" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_01may2012.5.jan2011_distortion_corrected/stats-volumes/BALBC_img_01may2012.5.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"4" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_01may2012.6.jan2011_distortion_corrected/stats-volumes/BALBC_img_01may2012.6.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"5" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_01may2012.7.jan2011_distortion_corrected/stats-volumes/BALBC_img_01may2012.7.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"6" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_02may2012.3.jan2011_distortion_corrected/stats-volumes/BALBC_img_02may2012.3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"7" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_07feb2012.10.jan2011_distortion_corrected/stats-volumes/BALBC_img_07feb2012.10.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"8" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_07feb2012.11.jan2011_distortion_corrected/stats-volumes/BALBC_img_07feb2012.11.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"9" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_07feb2012.12.jan2011_distortion_corrected/stats-volumes/BALBC_img_07feb2012.12.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"10" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_10feb2012.12.jan2011_distortion_corrected/stats-volumes/BALBC_img_10feb2012.12.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"11" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/BALBC_img_14mar2012.2.jan2011_distortion_corrected/stats-volumes/BALBC_img_14mar2012.2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BALBC" "BALBC"
"12" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_001.jan2011_distortion_corrected/stats-volumes/SERT_001.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
"13" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_002.jan2011_distortion_corrected/stats-volumes/SERT_002.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
"14" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_006.jan2011_distortion_corrected/stats-volumes/SERT_006.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
"15" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_008.jan2011_distortion_corrected/stats-volumes/SERT_008.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
"16" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_009.jan2011_distortion_corrected/stats-volumes/SERT_009.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
"17" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_016.jan2011_distortion_corrected/stats-volumes/SERT_016.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
"18" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_017.jan2011_distortion_corrected/stats-volumes/SERT_017.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
"19" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_019.jan2011_distortion_corrected/stats-volumes/SERT_019.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
"20" "/projects/moush/jacob/BALBC/BALBC_02dec12_ANTS_processed/SERT_020.jan2011_distortion_corrected/stats-volumes/SERT_020.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT" "SERT"
