"Filenames" "Genotype"
"1" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_078-3.jan2011_distortion_corrected/stats-volumes/B6_078-3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"2" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_114-2.jan2011_distortion_corrected/stats-volumes/B6_114-2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"3" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_114-3.jan2011_distortion_corrected/stats-volumes/B6_114-3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"4" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_114-4.jan2011_distortion_corrected/stats-volumes/B6_114-4.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"5" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_115-3.jan2011_distortion_corrected/stats-volumes/B6_115-3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"6" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_115-4.jan2011_distortion_corrected/stats-volumes/B6_115-4.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"7" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_115-5.jan2011_distortion_corrected/stats-volumes/B6_115-5.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"8" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_986-6.jan2011_distortion_corrected/stats-volumes/B6_986-6.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"9" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_986-8.jan2011_distortion_corrected/stats-volumes/B6_986-8.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"10" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_987-10.jan2011_distortion_corrected/stats-volumes/B6_987-10.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"11" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_987-5.jan2011_distortion_corrected/stats-volumes/B6_987-5.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"12" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/B6_987-9.jan2011_distortion_corrected/stats-volumes/B6_987-9.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "B6"
"13" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_103-1.jan2011_distortion_corrected/stats-volumes/BTBR_103-1.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"14" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_103-2.jan2011_distortion_corrected/stats-volumes/BTBR_103-2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"15" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_113-2.jan2011_distortion_corrected/stats-volumes/BTBR_113-2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"16" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_113-3.jan2011_distortion_corrected/stats-volumes/BTBR_113-3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"17" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_944-2.jan2011_distortion_corrected/stats-volumes/BTBR_944-2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"18" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_944-5.jan2011_distortion_corrected/stats-volumes/BTBR_944-5.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"19" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_944-7.jan2011_distortion_corrected/stats-volumes/BTBR_944-7.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"20" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_945-6.jan2011_distortion_corrected/stats-volumes/BTBR_945-6.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"21" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_945-9.jan2011_distortion_corrected/stats-volumes/BTBR_945-9.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"22" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_981-7.jan2011_distortion_corrected/stats-volumes/BTBR_981-7.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"23" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_981-8.jan2011_distortion_corrected/stats-volumes/BTBR_981-8.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"24" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/BTBR_981-9.jan2011_distortion_corrected/stats-volumes/BTBR_981-9.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "BTBR"
"25" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_013-6.jan2011_distortion_corrected/stats-volumes/FVB_013-6.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"26" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_014-1.jan2011_distortion_corrected/stats-volumes/FVB_014-1.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"27" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_014-3.jan2011_distortion_corrected/stats-volumes/FVB_014-3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"28" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_017-3.jan2011_distortion_corrected/stats-volumes/FVB_017-3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"29" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_017-4.jan2011_distortion_corrected/stats-volumes/FVB_017-4.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"30" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_017-5.jan2011_distortion_corrected/stats-volumes/FVB_017-5.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"31" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_017-9.jan2011_distortion_corrected/stats-volumes/FVB_017-9.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"32" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_018-1.jan2011_distortion_corrected/stats-volumes/FVB_018-1.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"33" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_018-7.jan2011_distortion_corrected/stats-volumes/FVB_018-7.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"34" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_018-8.jan2011_distortion_corrected/stats-volumes/FVB_018-8.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
"35" "/projects/moush/jacob/Crawley_BTBR/Crawley_BTBR_19jul11_ANTS_processed/FVB_019-2.jan2011_distortion_corrected/stats-volumes/FVB_019-2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "FVB"
