"Filenames" "Genotype"
"1" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_168.jan2011_distortion_corrected/stats-volumes/CNTNAP2_168.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"2" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_178.jan2011_distortion_corrected/stats-volumes/CNTNAP2_178.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_181.jan2011_distortion_corrected/stats-volumes/CNTNAP2_181.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"4" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_182.jan2011_distortion_corrected/stats-volumes/CNTNAP2_182.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"5" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_18.jan2011_distortion_corrected/stats-volumes/CNTNAP2_18.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"6" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_190.jan2011_distortion_corrected/stats-volumes/CNTNAP2_190.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"7" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_191.jan2011_distortion_corrected/stats-volumes/CNTNAP2_191.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"8" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_1921.jan2011_distortion_corrected/stats-volumes/CNTNAP2_1921.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"9" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_1923.jan2011_distortion_corrected/stats-volumes/CNTNAP2_1923.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"10" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_196.jan2011_distortion_corrected/stats-volumes/CNTNAP2_196.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"11" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_198.jan2011_distortion_corrected/stats-volumes/CNTNAP2_198.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"12" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_26.jan2011_distortion_corrected/stats-volumes/CNTNAP2_26.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"13" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_30.jan2011_distortion_corrected/stats-volumes/CNTNAP2_30.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"14" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_347.jan2011_distortion_corrected/stats-volumes/CNTNAP2_347.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"15" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_47.jan2011_distortion_corrected/stats-volumes/CNTNAP2_47.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"16" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_49.jan2011_distortion_corrected/stats-volumes/CNTNAP2_49.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"17" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_53.jan2011_distortion_corrected/stats-volumes/CNTNAP2_53.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"18" "/projects/moush/jacob/Geschwind_CNTNAP2/CNTNAP2_ANTS_17Apr12_processed/CNTNAP2_55.jan2011_distortion_corrected/stats-volumes/CNTNAP2_55.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
