"Filenames" "Genotype"
"1" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_22.november_2007_distortion_corrected/stats-volumes/En2_22.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_23.november_2007_distortion_corrected/stats-volumes/En2_23.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_24.november_2007_distortion_corrected/stats-volumes/En2_24.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"4" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_25.november_2007_distortion_corrected/stats-volumes/En2_25.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"5" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_26.november_2007_distortion_corrected/stats-volumes/En2_26.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"6" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_28.november_2007_distortion_corrected/stats-volumes/En2_28.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"7" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_29.november_2007_distortion_corrected/stats-volumes/En2_29.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"8" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_31.november_2007_distortion_corrected/stats-volumes/En2_31.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"9" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_33.november_2007_distortion_corrected/stats-volumes/En2_33.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"10" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_36.november_2007_distortion_corrected/stats-volumes/En2_36.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"11" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_37.november_2007_distortion_corrected/stats-volumes/En2_37.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"12" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_50.november_2007_distortion_corrected/stats-volumes/En2_50.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"13" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_53.november_2007_distortion_corrected/stats-volumes/En2_53.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"14" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_54.november_2007_distortion_corrected/stats-volumes/En2_54.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_56.november_2007_distortion_corrected/stats-volumes/En2_56.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"16" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_57.november_2007_distortion_corrected/stats-volumes/En2_57.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"17" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_59.november_2007_distortion_corrected/stats-volumes/En2_59.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/Engrailed2_New/En2_New_p60_ANTS_06nov12_processed/En2_60.november_2007_distortion_corrected/stats-volumes/En2_60.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
