"Filenames" "Genotype"
"1" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-11.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-11.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-12.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-12.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"3" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-13.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-13.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"4" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-14.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-14.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"5" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-15.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-15.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"6" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-16.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-16.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"7" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-1.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-1.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"8" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-2.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-2.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"9" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-3.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-3.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"10" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-4b.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-4b.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"11" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-5.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-5.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"12" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-6b.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-6b.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"13" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-8b.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-8b.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"14" "/projects/moush/jacob/FMR1/FMR1_06nov12_ANTS_processed/FX_Hampson_MRI-9b.november_2007_distortion_corrected/stats-volumes/FX_Hampson_MRI-9b.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
