"Filenames" "Genotype"
"1" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_09aug12.16.jan2011_distortion_corrected/stats-volumes/img_09aug12.16.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"2" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_10sep12.10.jan2011_distortion_corrected/stats-volumes/img_10sep12.10.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_14aug12.1.jan2011_distortion_corrected/stats-volumes/img_14aug12.1.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"4" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_18oct12.10.jan2011_distortion_corrected/stats-volumes/img_18oct12.10.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"5" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_18oct12.2.jan2011_distortion_corrected/stats-volumes/img_18oct12.2.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"6" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_18oct12.5.jan2011_distortion_corrected/stats-volumes/img_18oct12.5.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"7" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_18oct12.6.jan2011_distortion_corrected/stats-volumes/img_18oct12.6.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"8" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_18oct12.7.jan2011_distortion_corrected/stats-volumes/img_18oct12.7.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"9" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_18oct12.8.jan2011_distortion_corrected/stats-volumes/img_18oct12.8.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"10" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_18oct12.9.jan2011_distortion_corrected/stats-volumes/img_18oct12.9.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"11" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_19feb13.1.jan2011_distortion_corrected/stats-volumes/img_19feb13.1.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"12" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_19feb13.3.jan2011_distortion_corrected/stats-volumes/img_19feb13.3.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"13" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_20aug12.5.jan2011_distortion_corrected/stats-volumes/img_20aug12.5.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"14" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_20aug12.6.jan2011_distortion_corrected/stats-volumes/img_20aug12.6.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"15" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_20aug12.7.jan2011_distortion_corrected/stats-volumes/img_20aug12.7.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"16" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_20feb13.9.jan2011_distortion_corrected/stats-volumes/img_20feb13.9.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"17" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_30aug12.16.jan2011_distortion_corrected/stats-volumes/img_30aug12.16.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"18" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_31aug12.5.jan2011_distortion_corrected/stats-volumes/img_31aug12.5.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"19" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_31aug12.6.jan2011_distortion_corrected/stats-volumes/img_31aug12.6.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"20" "/projects/moush/mfriedel/Foster/FMR1_vs_FVB/registration_nomask_new_CC/22Feb_FMRI_FVB_nomask_processed/img_31aug12.7.jan2011_distortion_corrected/stats-volumes/img_31aug12.7.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
