"Filenames" "Genotype"
"1" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_618-10_dc/stats-volumes/Gtf21_618-10_dc-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_618-1_dc/stats-volumes/Gtf21_618-1_dc-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_618-2_dc/stats-volumes/Gtf21_618-2_dc-log-determinant-fwhm0.2.mnc" "YT"
"4" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_618-3_dc/stats-volumes/Gtf21_618-3_dc-log-determinant-fwhm0.2.mnc" "YT"
"5" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_618-4_dc/stats-volumes/Gtf21_618-4_dc-log-determinant-fwhm0.2.mnc" "WT"
"6" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_618-5_dc/stats-volumes/Gtf21_618-5_dc-log-determinant-fwhm0.2.mnc" "WT"
"7" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_624-13_dc/stats-volumes/Gtf21_624-13_dc-log-determinant-fwhm0.2.mnc" "YT"
"8" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_624-15_dc/stats-volumes/Gtf21_624-15_dc-log-determinant-fwhm0.2.mnc" "WT"
"9" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_624-17_dc/stats-volumes/Gtf21_624-17_dc-log-determinant-fwhm0.2.mnc" "YT"
"10" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_624-19_dc/stats-volumes/Gtf21_624-19_dc-log-determinant-fwhm0.2.mnc" "YT"
"11" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_624-2_dc/stats-volumes/Gtf21_624-2_dc-log-determinant-fwhm0.2.mnc" "YT"
"12" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_624-4_dc/stats-volumes/Gtf21_624-4_dc-log-determinant-fwhm0.2.mnc" "WT"
"13" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_624-6_dc/stats-volumes/Gtf21_624-6_dc-log-determinant-fwhm0.2.mnc" "YT"
"14" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_635-12_dc/stats-volumes/Gtf21_635-12_dc-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_635-13_dc/stats-volumes/Gtf21_635-13_dc-log-determinant-fwhm0.2.mnc" "YT"
"16" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_635-14_dc/stats-volumes/Gtf21_635-14_dc-log-determinant-fwhm0.2.mnc" "YT"
"17" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_635-17_dc/stats-volumes/Gtf21_635-17_dc-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_669-10_dc/stats-volumes/Gtf21_669-10_dc-log-determinant-fwhm0.2.mnc" "WT"
"19" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_669-16_dc/stats-volumes/Gtf21_669-16_dc-log-determinant-fwhm0.2.mnc" "XS"
"20" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_669-6_dc/stats-volumes/Gtf21_669-6_dc-log-determinant-fwhm0.2.mnc" "XS"
"21" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_681-10_dc/stats-volumes/Gtf21_681-10_dc-log-determinant-fwhm0.2.mnc" "XS"
"22" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_681-1_dc/stats-volumes/Gtf21_681-1_dc-log-determinant-fwhm0.2.mnc" "XS"
"23" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_681-2_dc/stats-volumes/Gtf21_681-2_dc-log-determinant-fwhm0.2.mnc" "XS"
"24" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_681-3_dc/stats-volumes/Gtf21_681-3_dc-log-determinant-fwhm0.2.mnc" "XS"
"25" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_681-4_dc/stats-volumes/Gtf21_681-4_dc-log-determinant-fwhm0.2.mnc" "XS"
"26" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_681-5_dc/stats-volumes/Gtf21_681-5_dc-log-determinant-fwhm0.2.mnc" "XS"
"27" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/Gtf21_681-6_dc/stats-volumes/Gtf21_681-6_dc-log-determinant-fwhm0.2.mnc" "XS"
"28" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_08feb13.16._dc/stats-volumes/img_08feb13.16._dc-log-determinant-fwhm0.2.mnc" "WT"
"29" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_08feb13.2._dc/stats-volumes/img_08feb13.2._dc-log-determinant-fwhm0.2.mnc" "WT"
"30" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.10._dc/stats-volumes/img_13feb13.10._dc-log-determinant-fwhm0.2.mnc" "YT"
"31" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.11._dc/stats-volumes/img_13feb13.11._dc-log-determinant-fwhm0.2.mnc" "YT"
"32" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.12._dc/stats-volumes/img_13feb13.12._dc-log-determinant-fwhm0.2.mnc" "XS"
"33" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.13._dc/stats-volumes/img_13feb13.13._dc-log-determinant-fwhm0.2.mnc" "XS"
"34" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.15._dc/stats-volumes/img_13feb13.15._dc-log-determinant-fwhm0.2.mnc" "YT"
"35" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.1._dc/stats-volumes/img_13feb13.1._dc-log-determinant-fwhm0.2.mnc" "YT"
"36" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.2._dc/stats-volumes/img_13feb13.2._dc-log-determinant-fwhm0.2.mnc" "WT"
"37" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.3._dc/stats-volumes/img_13feb13.3._dc-log-determinant-fwhm0.2.mnc" "WT"
"38" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.4._dc/stats-volumes/img_13feb13.4._dc-log-determinant-fwhm0.2.mnc" "WT"
"39" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.5._dc/stats-volumes/img_13feb13.5._dc-log-determinant-fwhm0.2.mnc" "WT"
"40" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.6._dc/stats-volumes/img_13feb13.6._dc-log-determinant-fwhm0.2.mnc" "YT"
"41" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.7._dc/stats-volumes/img_13feb13.7._dc-log-determinant-fwhm0.2.mnc" "YT"
"42" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.8._dc/stats-volumes/img_13feb13.8._dc-log-determinant-fwhm0.2.mnc" "WT"
"43" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_13feb13.9._dc/stats-volumes/img_13feb13.9._dc-log-determinant-fwhm0.2.mnc" "YT"
"44" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_14feb13.10._dc/stats-volumes/img_14feb13.10._dc-log-determinant-fwhm0.2.mnc" "XS"
"45" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_14feb13.1._dc/stats-volumes/img_14feb13.1._dc-log-determinant-fwhm0.2.mnc" "WT"
"46" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_14feb13.2._dc/stats-volumes/img_14feb13.2._dc-log-determinant-fwhm0.2.mnc" "YT"
"47" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_14feb13.3._dc/stats-volumes/img_14feb13.3._dc-log-determinant-fwhm0.2.mnc" "XS"
"48" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_14feb13.5._dc/stats-volumes/img_14feb13.5._dc-log-determinant-fwhm0.2.mnc" "XS"
"49" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_14feb13.7._dc/stats-volumes/img_14feb13.7._dc-log-determinant-fwhm0.2.mnc" "XS"
"50" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_14feb13.9._dc/stats-volumes/img_14feb13.9._dc-log-determinant-fwhm0.2.mnc" "XS"
"51" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_15sep12.16_dc/stats-volumes/img_15sep12.16_dc-log-determinant-fwhm0.2.mnc" "WT"
"52" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_16sep12.16_dc/stats-volumes/img_16sep12.16_dc-log-determinant-fwhm0.2.mnc" "YT"
"53" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_16sep12.5_dc/stats-volumes/img_16sep12.5_dc-log-determinant-fwhm0.2.mnc" "WT"
"54" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_16sep12.6_dc/stats-volumes/img_16sep12.6_dc-log-determinant-fwhm0.2.mnc" "YT"
"55" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_19feb13.10._dc/stats-volumes/img_19feb13.10._dc-log-determinant-fwhm0.2.mnc" "YT"
"56" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_19feb13.11._dc/stats-volumes/img_19feb13.11._dc-log-determinant-fwhm0.2.mnc" "XS"
"57" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_19feb13.12._dc/stats-volumes/img_19feb13.12._dc-log-determinant-fwhm0.2.mnc" "XS"
"58" "/projects/souris/matthijs/brain_projects/2013-02-Osborne-Gtf2i/registration/mincANTS_SyN_0.1_Gauss_2_1_processed/img_19feb13.9._dc/stats-volumes/img_19feb13.9._dc-log-determinant-fwhm0.2.mnc" "WT"
