"Filenames" "Genotype"
"1" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_001.jan2011_distortion_corrected/stats-volumes/ITGB3_001.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_002.jan2011_distortion_corrected/stats-volumes/ITGB3_002.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_003.jan2011_distortion_corrected/stats-volumes/ITGB3_003.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"4" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_004.jan2011_distortion_corrected/stats-volumes/ITGB3_004.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"5" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_006.jan2011_distortion_corrected/stats-volumes/ITGB3_006.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"6" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_007.jan2011_distortion_corrected/stats-volumes/ITGB3_007.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"7" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_008.jan2011_distortion_corrected/stats-volumes/ITGB3_008.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"8" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_009.jan2011_distortion_corrected/stats-volumes/ITGB3_009.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"9" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_010.jan2011_distortion_corrected/stats-volumes/ITGB3_010.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"10" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_011.jan2011_distortion_corrected/stats-volumes/ITGB3_011.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"11" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_012.jan2011_distortion_corrected/stats-volumes/ITGB3_012.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"12" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_013.jan2011_distortion_corrected/stats-volumes/ITGB3_013.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"13" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_014.jan2011_distortion_corrected/stats-volumes/ITGB3_014.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"14" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_015.jan2011_distortion_corrected/stats-volumes/ITGB3_015.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_016.jan2011_distortion_corrected/stats-volumes/ITGB3_016.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"16" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_017.jan2011_distortion_corrected/stats-volumes/ITGB3_017.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"17" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_018.jan2011_distortion_corrected/stats-volumes/ITGB3_018.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"18" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_019.jan2011_distortion_corrected/stats-volumes/ITGB3_019.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"19" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_020.jan2011_distortion_corrected/stats-volumes/ITGB3_020.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"20" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_021.jan2011_distortion_corrected/stats-volumes/ITGB3_021.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"21" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_022.jan2011_distortion_corrected/stats-volumes/ITGB3_022.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"22" "/projects/moush/jacob/ITGB3/ITGB3_22Jan12_ANTS_processed/ITGB3_023.jan2011_distortion_corrected/stats-volumes/ITGB3_023.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
