"Filenames" "Genotype"
"1" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_001.jan2011_distortion_corrected/stats-volumes/Rett_60_001.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"2" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_002.jan2011_distortion_corrected/stats-volumes/Rett_60_002.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"3" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_003.jan2011_distortion_corrected/stats-volumes/Rett_60_003.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"4" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_004.jan2011_distortion_corrected/stats-volumes/Rett_60_004.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"5" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_005.jan2011_distortion_corrected/stats-volumes/Rett_60_005.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"6" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_006.jan2011_distortion_corrected/stats-volumes/Rett_60_006.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"7" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_007.jan2011_distortion_corrected/stats-volumes/Rett_60_007.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"8" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_008.jan2011_distortion_corrected/stats-volumes/Rett_60_008.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"9" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_009.jan2011_distortion_corrected/stats-volumes/Rett_60_009.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"10" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/Rett_60_010.jan2011_distortion_corrected/stats-volumes/Rett_60_010.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"11" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_001.jan2011_distortion_corrected/stats-volumes/SERT_001.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"12" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_002.jan2011_distortion_corrected/stats-volumes/SERT_002.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"13" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_006.jan2011_distortion_corrected/stats-volumes/SERT_006.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"14" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_008.jan2011_distortion_corrected/stats-volumes/SERT_008.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_009.jan2011_distortion_corrected/stats-volumes/SERT_009.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"16" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_016.jan2011_distortion_corrected/stats-volumes/SERT_016.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"17" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_017.jan2011_distortion_corrected/stats-volumes/SERT_017.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_019.jan2011_distortion_corrected/stats-volumes/SERT_019.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"19" "/projects/moush/jacob/Rett_60/Rett_60_17Jan13_ANTS_processed/SERT_020.jan2011_distortion_corrected/stats-volumes/SERT_020.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
