"Filenames" "Genotype"
"1" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_10.november_2007_distortion_corrected/stats-volumes/NLGN_10.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_11.november_2007_distortion_corrected/stats-volumes/NLGN_11.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_12.november_2007_distortion_corrected/stats-volumes/NLGN_12.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"4" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_13.november_2007_distortion_corrected/stats-volumes/NLGN_13.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"5" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_14.november_2007_distortion_corrected/stats-volumes/NLGN_14.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"6" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_15.november_2007_distortion_corrected/stats-volumes/NLGN_15.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"7" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_16.november_2007_distortion_corrected/stats-volumes/NLGN_16.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"8" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_17.november_2007_distortion_corrected/stats-volumes/NLGN_17.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"9" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_18.november_2007_distortion_corrected/stats-volumes/NLGN_18.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"10" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_19.november_2007_distortion_corrected/stats-volumes/NLGN_19.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"11" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_20.november_2007_distortion_corrected/stats-volumes/NLGN_20.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"12" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_5.november_2007_distortion_corrected/stats-volumes/NLGN_5.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"13" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_6.november_2007_distortion_corrected/stats-volumes/NLGN_6.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"14" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_7.november_2007_distortion_corrected/stats-volumes/NLGN_7.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"15" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_8.november_2007_distortion_corrected/stats-volumes/NLGN_8.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"16" "/projects/moush/jacob/NL3_R451C/NL3_06nov12_ANTS_processed/NLGN_9.november_2007_distortion_corrected/stats-volumes/NLGN_9.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
