"Filenames" "Genotype"
"1" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_2751.jan2011_distortion_corrected/stats-volumes/NRXN1a_2751.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_2823.jan2011_distortion_corrected/stats-volumes/NRXN1a_2823.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"3" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_2869.jan2011_distortion_corrected/stats-volumes/NRXN1a_2869.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"4" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_2873.jan2011_distortion_corrected/stats-volumes/NRXN1a_2873.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"5" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_2877.jan2011_distortion_corrected/stats-volumes/NRXN1a_2877.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"6" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_2895.jan2011_distortion_corrected/stats-volumes/NRXN1a_2895.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"7" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3006.jan2011_distortion_corrected/stats-volumes/NRXN1a_3006.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"8" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3007.jan2011_distortion_corrected/stats-volumes/NRXN1a_3007.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"9" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3008.jan2011_distortion_corrected/stats-volumes/NRXN1a_3008.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"10" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3048.jan2011_distortion_corrected/stats-volumes/NRXN1a_3048.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"11" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3051.jan2011_distortion_corrected/stats-volumes/NRXN1a_3051.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"12" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3088.jan2011_distortion_corrected/stats-volumes/NRXN1a_3088.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"13" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3090.jan2011_distortion_corrected/stats-volumes/NRXN1a_3090.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"14" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3402.jan2011_distortion_corrected/stats-volumes/NRXN1a_3402.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3403.jan2011_distortion_corrected/stats-volumes/NRXN1a_3403.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"16" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3406.jan2011_distortion_corrected/stats-volumes/NRXN1a_3406.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"17" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3475.jan2011_distortion_corrected/stats-volumes/NRXN1a_3475.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/Neurexin1_alpha/NRXN1a_ANTS_21sep11_processed/NRXN1a_3477.jan2011_distortion_corrected/stats-volumes/NRXN1a_3477.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
