"Filenames" "Genotype"
"1" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2778.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2778.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"2" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2783.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2783.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2794.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2794.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"4" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2821.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2821.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"5" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2823.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2823.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"6" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2836.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2836.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"7" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2857.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2857.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"8" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2859.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2859.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"9" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2863.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2863.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"10" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2866.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2866.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"11" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2878.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2878.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"12" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2879.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2879.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"13" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2881.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2881.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"14" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2891.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2891.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2892.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2892.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"16" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2893.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2893.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"17" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2896.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2896.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"18" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2898.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2898.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"19" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2900.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2900.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"20" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_2901.jan2011_distortion_corrected/stats-volumes/VVW_Sert_2901.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"21" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4624.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4624.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"22" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4627.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4627.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"23" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4641.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4641.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"24" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4643.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4643.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"25" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4644.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4644.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"26" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4685.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4685.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KI"
"27" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4691.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4691.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"28" "/projects/moush/jacob/Veenstra_VanderWeele_SERT/VVW_SERT_KI_ALL_03Jul12_ANTS_processed/VVW_Sert_F_4692.jan2011_distortion_corrected/stats-volumes/VVW_Sert_F_4692.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
