"Filenames" "Genotype"
"1" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_001.jan2011_distortion_corrected/stats-volumes/SERT_001.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_002.jan2011_distortion_corrected/stats-volumes/SERT_002.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"3" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_003.jan2011_distortion_corrected/stats-volumes/SERT_003.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"4" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_004.jan2011_distortion_corrected/stats-volumes/SERT_004.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"5" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_005.jan2011_distortion_corrected/stats-volumes/SERT_005.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"6" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_006.jan2011_distortion_corrected/stats-volumes/SERT_006.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"7" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_007.jan2011_distortion_corrected/stats-volumes/SERT_007.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"8" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_008.jan2011_distortion_corrected/stats-volumes/SERT_008.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"9" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_009.jan2011_distortion_corrected/stats-volumes/SERT_009.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"10" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_010.jan2011_distortion_corrected/stats-volumes/SERT_010.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"11" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_011.jan2011_distortion_corrected/stats-volumes/SERT_011.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"12" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_012.jan2011_distortion_corrected/stats-volumes/SERT_012.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"13" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_013.jan2011_distortion_corrected/stats-volumes/SERT_013.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"14" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_014.jan2011_distortion_corrected/stats-volumes/SERT_014.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"15" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_015.jan2011_distortion_corrected/stats-volumes/SERT_015.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"16" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_016.jan2011_distortion_corrected/stats-volumes/SERT_016.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"17" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_017.jan2011_distortion_corrected/stats-volumes/SERT_017.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_019.jan2011_distortion_corrected/stats-volumes/SERT_019.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"19" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_020.jan2011_distortion_corrected/stats-volumes/SERT_020.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"20" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_001.jan2011_distortion_corrected/stats-volumes/SERT_F_001.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"21" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_002.jan2011_distortion_corrected/stats-volumes/SERT_F_002.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"22" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_003.jan2011_distortion_corrected/stats-volumes/SERT_F_003.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"23" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_004.jan2011_distortion_corrected/stats-volumes/SERT_F_004.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"24" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_005.jan2011_distortion_corrected/stats-volumes/SERT_F_005.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"25" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_006.jan2011_distortion_corrected/stats-volumes/SERT_F_006.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"26" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_007.jan2011_distortion_corrected/stats-volumes/SERT_F_007.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"27" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_008.jan2011_distortion_corrected/stats-volumes/SERT_F_008.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"28" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_009.jan2011_distortion_corrected/stats-volumes/SERT_F_009.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"29" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_010.jan2011_distortion_corrected/stats-volumes/SERT_F_010.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"30" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_011.jan2011_distortion_corrected/stats-volumes/SERT_F_011.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"31" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_012.jan2011_distortion_corrected/stats-volumes/SERT_F_012.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"32" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_013.jan2011_distortion_corrected/stats-volumes/SERT_F_013.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"33" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_014.jan2011_distortion_corrected/stats-volumes/SERT_F_014.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"34" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_015.jan2011_distortion_corrected/stats-volumes/SERT_F_015.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"35" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_016.jan2011_distortion_corrected/stats-volumes/SERT_F_016.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"36" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_017.jan2011_distortion_corrected/stats-volumes/SERT_F_017.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"37" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_018.jan2011_distortion_corrected/stats-volumes/SERT_F_018.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"38" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_019.jan2011_distortion_corrected/stats-volumes/SERT_F_019.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"39" "/projects/moush/jacob/SERT_KO_F/SERT_MF_15jan12_ANTS_processed/SERT_F_020.jan2011_distortion_corrected/stats-volumes/SERT_F_020.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
