"Filenames" "Genotype"
"1" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3458.jan2011_distortion_corrected/stats-volumes/SH3_3458.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"2" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3459.jan2011_distortion_corrected/stats-volumes/SH3_3459.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"3" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3460.jan2011_distortion_corrected/stats-volumes/SH3_3460.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"4" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3520.jan2011_distortion_corrected/stats-volumes/SH3_3520.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"5" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3525.jan2011_distortion_corrected/stats-volumes/SH3_3525.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"6" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3526.jan2011_distortion_corrected/stats-volumes/SH3_3526.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"7" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3529.jan2011_distortion_corrected/stats-volumes/SH3_3529.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"8" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3637.jan2011_distortion_corrected/stats-volumes/SH3_3637.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"9" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3638.jan2011_distortion_corrected/stats-volumes/SH3_3638.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"10" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3643.jan2011_distortion_corrected/stats-volumes/SH3_3643.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"11" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3647.jan2011_distortion_corrected/stats-volumes/SH3_3647.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"12" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3988.jan2011_distortion_corrected/stats-volumes/SH3_3988.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"13" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3995.jan2011_distortion_corrected/stats-volumes/SH3_3995.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"14" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_3997.jan2011_distortion_corrected/stats-volumes/SH3_3997.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"15" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_4299.jan2011_distortion_corrected/stats-volumes/SH3_4299.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"16" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_4301.jan2011_distortion_corrected/stats-volumes/SH3_4301.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"17" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_4305.jan2011_distortion_corrected/stats-volumes/SH3_4305.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"18" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_4347.jan2011_distortion_corrected/stats-volumes/SH3_4347.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"19" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_4350.jan2011_distortion_corrected/stats-volumes/SH3_4350.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "KO"
"20" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_4351.jan2011_distortion_corrected/stats-volumes/SH3_4351.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
"21" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_4455.jan2011_distortion_corrected/stats-volumes/SH3_4455.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "Het"
"22" "/projects/moush/jacob/SHANK3/SHANK3_06Dec11_ANTS_processed/SH3_4457.jan2011_distortion_corrected/stats-volumes/SH3_4457.jan2011_distortion_corrected-log-determinant-fwhm0.2.mnc" "WT"
