"Filenames" "Genotype"
"1" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_11may10.1.november_2007_distortion_corrected/stats-volumes/img_11may10.1.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"2" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_11may10.2.november_2007_distortion_corrected/stats-volumes/img_11may10.2.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"3" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_12may10.0.november_2007_distortion_corrected/stats-volumes/img_12may10.0.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"4" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_12may10.1.november_2007_distortion_corrected/stats-volumes/img_12may10.1.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"5" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_12may10.2.november_2007_distortion_corrected/stats-volumes/img_12may10.2.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"6" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_13may10.0.november_2007_distortion_corrected/stats-volumes/img_13may10.0.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"7" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_13may10.2.november_2007_distortion_corrected/stats-volumes/img_13may10.2.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"8" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_14may10.0.november_2007_distortion_corrected/stats-volumes/img_14may10.0.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"9" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_14may10.2.november_2007_distortion_corrected/stats-volumes/img_14may10.2.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"10" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_17may10.0.november_2007_distortion_corrected/stats-volumes/img_17may10.0.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XY"
"11" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_17may10.1.november_2007_distortion_corrected/stats-volumes/img_17may10.1.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XO"
"12" "/projects/souris/jason/binb-projects/turner-syndrome/XO-oct5-2011-mincANTS_processed/img_17may10.2.november_2007_distortion_corrected/stats-volumes/img_17may10.2.november_2007_distortion_corrected-log-determinant-fwhm0.2.mnc" "XO"
